symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NVDA,2019-03-04 00:00:00+00:00,156.78,158.92,154.5,158.0,10249750,38.9307663503,39.4621596402,38.3646090134,39.2337101885,40999000,0.0,1.0
NVDA,2019-03-05 00:00:00+00:00,156.52,158.06,153.96,156.15,9073119,38.8662045487,39.2486090658,38.2305191178,38.7743281388,36292476,0.0,1.0
NVDA,2019-03-06 00:00:00+00:00,152.05,156.5,151.94,156.16,10088149,37.7562381909,38.8612382563,37.7289235825,38.776811285,40352596,0.0,1.0
NVDA,2019-03-07 00:00:00+00:00,149.26,151.49,147.4,151.1,11252633,37.063440397,37.6171820029,36.6015752011,37.5203393005,45010532,0.0,1.0
NVDA,2019-03-08 00:00:00+00:00,150.64,151.07,144.8,145.66,10560371,37.4061145746,37.5128898618,35.9559571854,36.1695077598,42241484,0.0,1.0
NVDA,2019-03-11 00:00:00+00:00,161.14,162.06,149.69,151.59,21493150,40.0134180998,40.2418675515,37.1702156843,37.642013465,85972600,0.0,1.0
NVDA,2019-03-12 00:00:00+00:00,162.52,164.39,159.19,162.26,14489368,40.3560922774,40.8204406195,39.529204588,40.2915304758,57957472,0.0,1.0
NVDA,2019-03-13 00:00:00+00:00,168.62,169.8,163.73,164.03,19222518,41.8708114682,42.1638227215,40.6565529694,40.7310473558,76890072,0.0,1.0
NVDA,2019-03-14 00:00:00+00:00,165.56,169.47,165.25,168.99,12984630,41.1109687266,42.0818788965,41.033991194,41.9626878782,51938520,0.0,1.0
NVDA,2019-03-15 00:00:00+00:00,169.81,171.53,167.16,167.3,16536482,42.1663058677,42.5934070166,41.5082721209,41.5430361679,66145928,0.0,1.0
NVDA,2019-03-18 00:00:00+00:00,168.95,173.25,167.86,171.08,12174829,41.9527552933,43.0205081655,41.6820923559,42.481665437,48699316,0.0,1.0
NVDA,2019-03-19 00:00:00+00:00,175.71,177.5,172.08,172.76,21374310,43.6313621343,44.0758453067,42.7299800584,42.898834001,85497240,0.0,1.0
NVDA,2019-03-20 00:00:00+00:00,174.4,179.03,173.0,176.88,17978715,43.3060699802,44.4557666775,42.9584295102,43.9218902414,71914860,0.0,1.0
